,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
BRK1,1.0,1.0,1.0,1.0,100.0
TMSB4X,1.0,1.0,1.0,1.0,100.0
COMMD6,1.0,1.0,1.0,1.0,100.0
ZNF384,1.0,1.0,1.0,0.0,75.0
FECH,1.0,1.0,1.0,0.0,75.0
PDGFD,1.0,1.0,1.0,0.0,75.0
STYX,1.0,1.0,1.0,0.0,75.0
APOLD1,1.0,1.0,1.0,0.0,75.0
CRACR2A,1.0,1.0,1.0,0.0,75.0
CEP135,1.0,1.0,0.0,1.0,75.0
CEP112,1.0,1.0,1.0,0.0,75.0
CELF4,1.0,1.0,1.0,0.0,75.0
RABL2B,1.0,1.0,1.0,0.0,75.0
PRRC2A,1.0,1.0,1.0,0.0,75.0
CARHSP1,1.0,1.0,1.0,0.0,75.0
NENF,1.0,1.0,1.0,0.0,75.0
GPR137B,1.0,1.0,1.0,0.0,75.0
LINGO1,0.0,1.0,1.0,0.0,50.0
MAP2K2,0.0,1.0,1.0,0.0,50.0
RPL28,0.0,1.0,1.0,0.0,50.0
NADK,0.0,1.0,1.0,0.0,50.0
RPSA,1.0,0.0,0.0,1.0,50.0
GPR75-ASB3,0.0,1.0,1.0,0.0,50.0
NR3C1,1.0,1.0,0.0,0.0,50.0
PPP1CC,1.0,0.0,1.0,0.0,50.0
FBXL3,1.0,1.0,0.0,0.0,50.0
CC2D1B,1.0,1.0,0.0,0.0,50.0
BCL2L11,0.0,1.0,1.0,0.0,50.0
DR1,1.0,1.0,0.0,0.0,50.0
UQCC2,1.0,0.0,1.0,0.0,50.0
C5orf24,1.0,1.0,0.0,0.0,50.0
DBNL,1.0,0.0,1.0,0.0,50.0
TPM3,0.0,1.0,1.0,0.0,50.0
CBWD5,1.0,1.0,0.0,0.0,50.0
CCDC6,0.0,1.0,1.0,0.0,50.0
PPP1R15B,1.0,0.0,0.0,0.0,25.0
PRIM2,1.0,0.0,0.0,0.0,25.0
UPF3B,0.0,1.0,0.0,0.0,25.0
SLC29A1,0.0,1.0,0.0,0.0,25.0
TM9SF3,1.0,0.0,0.0,0.0,25.0
SEC24A,0.0,1.0,0.0,0.0,25.0
SEPHS1,1.0,0.0,0.0,0.0,25.0
SSB,0.0,0.0,1.0,0.0,25.0
SH3BGRL3,0.0,1.0,0.0,0.0,25.0
STX12,0.0,1.0,0.0,0.0,25.0
AHSA1,1.0,0.0,0.0,0.0,25.0
PARP4,0.0,1.0,0.0,0.0,25.0
FOXP1,0.0,0.0,0.0,1.0,25.0
BNIP2,0.0,1.0,0.0,0.0,25.0
CD164,0.0,0.0,1.0,0.0,25.0
CD58,0.0,0.0,0.0,1.0,25.0
CUX1,0.0,1.0,0.0,0.0,25.0
DDX55,1.0,0.0,0.0,0.0,25.0
DPM1,1.0,0.0,0.0,0.0,25.0
EMP2,1.0,0.0,0.0,0.0,25.0
FANCL,1.0,0.0,0.0,0.0,25.0
FYCO1,1.0,0.0,0.0,0.0,25.0
OARD1,1.0,0.0,0.0,0.0,25.0
GTF2B,0.0,1.0,0.0,0.0,25.0
HSPA8,1.0,0.0,0.0,0.0,25.0
INO80D,1.0,0.0,0.0,0.0,25.0
MCM3,1.0,0.0,0.0,0.0,25.0
MGAT1,0.0,1.0,0.0,0.0,25.0
MRPS36,1.0,0.0,0.0,0.0,25.0
NPC2,0.0,1.0,0.0,0.0,25.0
NUDT5,0.0,1.0,0.0,0.0,25.0
KIAA1586,0.0,0.0,1.0,0.0,25.0
